P-TPT_mean,P-TPT_std,P-TPT_min,P-TPT_max,P-TPT_median,T-TPT_mean,T-TPT_std,T-TPT_min,T-TPT_max,T-TPT_median,P-MON-CKP_mean,P-MON-CKP_std,P-MON-CKP_min,P-MON-CKP_max,P-MON-CKP_median,T-JUS-CKP_mean,T-JUS-CKP_std,T-JUS-CKP_min,T-JUS-CKP_max,T-JUS-CKP_median,label
10055352.940695982,21292.30225032206,9994737.0,10094480.0,10054590.0,119.03277150609824,0.036517277421440994,118.9421,119.0983,119.0381,1579690.8084815934,178385.7926740942,996066.8,2240969.0,1589945.0,84.23640185129238,0.41392974880768213,82.68953,85.37827,84.2772,0
10019339.591286886,17637.862020909954,9974787.0,10074540.0,10014690.0,119.03386682099627,0.02852591752830486,118.9421,119.0983,119.0333,1575567.4374909354,178638.8128263671,979429.4,2219992.0,1584508.0,84.14844907234897,0.4257434609697358,82.94777,85.47701,84.16666,0
9996878.423564212,18632.8663832003,9914938.0,10034640.0,9996462.0,118.97373817045265,0.030892323046329367,118.9225,119.0593,118.9746,1568945.1906904057,187075.8757224474,983769.6,2280754.0,1584577.0,84.10540348440028,0.4314797185726688,82.26421,85.4846,84.1217,0
9941311.035654128,29016.698853934788,9894989.0,9994737.0,9939823.5,118.8483071083661,0.03894460923649724,118.7468,118.9421,118.864,1566691.9866142615,187024.63981161657,999683.6,2261947.0,1576925.0,83.98951886917462,0.3893866935774517,82.40851,85.10484,84.02706,0
9907400.261916764,20975.331679513685,9855090.0,9974787.0,9913148.0,118.76610476110459,0.02213980236907527,118.7468,118.8249,118.7502,1563509.3964767826,190043.7289487762,981599.5,2221439.0,1583859.0,83.78571968744748,0.41700584302310156,82.18065,85.12003,83.80666,0
9895539.626898414,13939.781507188165,9855090.0,9914938.0,9894989.0,118.7858038249522,6.475378756488596e-05,118.7858,118.7874,118.7858,1554503.697457532,194990.61588285028,975089.3,2264840.0,1567334.5,83.74658110867364,0.4238383476730865,82.30977,85.07445,83.76248,0
9894622.62083847,17957.736734232276,9855090.0,9974787.0,9894989.0,118.79341078354446,0.011851650146302156,118.7858,118.8249,118.7858,1554993.3174083624,194006.09149044385,998960.2,2246756.0,1565041.0,83.78931587826476,0.43732364247551314,82.11229,85.14281,83.80847,0
13845788.541492037,45113.7059698196,13765210.0,13924800.0,13848670.0,117.6693798770606,0.06872266893408323,117.5749,117.7702,117.6792,5792548.384911987,26999.095138514855,5693567.0,5872960.0,5792691.0,70.31875482089968,0.14257427705002923,69.61047,70.67381,70.32122,0
13837438.150926497,45886.69088128927,13745260.0,13923900.0,13842200.0,117.69653340984156,0.05420498068107061,117.5749,117.7702,117.7191,5783661.930358842,25068.65939812545,5658846.0,5865003.0,5784589.0,70.34664120360523,0.12328439478606958,69.98264,70.67381,70.35024,0
13847298.518725857,33845.17171646069,13765210.0,13904850.0,13846760.0,117.70309832055085,0.041686019057236165,117.5749,117.7702,117.7079,5796332.485136875,22338.94490990857,5687056.0,5866450.0,5796583.0,70.31431460392992,0.10671747766398856,69.81554,70.60545,70.32667,0
13848117.216016978,39946.37827091178,13765210.0,13944750.0,13847395.0,117.70161825086565,0.049494416303431606,117.4577,117.7702,117.7119,5789078.713615548,26269.31600587141,5681993.0,5874407.0,5789533.0,70.26434696805539,0.11955108151730502,69.77756,70.54469,70.26619,0
13841011.993262213,37076.31871790226,13765210.0,13904850.0,13842460.0,117.70089669286918,0.0542195253207208,117.5749,117.7702,117.7145,5786752.330376193,26148.832845746536,5664323.0,5860632.0,5787393.5,70.30886895058954,0.11732108070424371,69.79316,70.6127,70.31206,0
13847773.173339272,18053.708080521814,13805110.0,13884900.0,13845000.0,117.69737706442451,0.039950907828903266,117.5749,117.7702,117.7039,5796360.3080906505,21570.975090866257,5703694.0,5849089.0,5798145.0,70.37718066818864,0.09272741677720203,70.09657,70.71938,70.3795,0
13851923.695603784,27201.53023364429,13805110.0,13904850.0,13851790.0,117.658808458542,0.05211438461900285,117.5749,117.7702,117.66655,5799982.786867,23387.308432420265,5689950.0,5875853.0,5800856.0,70.23557554312744,0.09912750003806176,69.75478,70.48392,70.250345,0
13869962.330367075,28019.908388248827,13805110.0,13924800.0,13872935.0,117.64611907119021,0.047349272877774996,117.5749,117.7702,117.6359,5818646.69727475,24972.64863186964,5711651.0,5893937.0,5819492.0,70.13954190989989,0.12805947225269995,69.65604,70.45354,70.13349500000001,0
13891601.720525963,23827.740359638727,13845000.0,13964700.0,13892400.0,117.63346781814128,0.037283342419700174,117.5749,117.7312,117.6365,5842413.442556274,24944.82670614396,5716714.0,5911298.0,5843119.5,70.01164485569421,0.08960280536878484,69.61806,70.26366,70.02087,0
13890229.478891449,38046.859050676794,13805110.0,13944750.0,13893930.0,117.61678523244701,0.05833969108034306,117.4968,117.7312,117.6149,5840973.105458429,25199.530947373358,5744202.0,5917085.0,5842513.0,70.00403688908878,0.11427157642911627,69.57249,70.38519,70.01402,0
14182688.652110213,88516.76659223356,13984650.0,14363690.0,14176830.0,116.49105164232715,0.10162280633308376,115.8562,116.7546,116.4868,6084081.297887424,30227.090790093353,5942403.0,6201365.0,6086414.0,68.1312224278085,0.21969320087292687,67.56734,68.62308,68.13636,0
14171163.800913412,73065.1165324036,13884900.0,14303850.0,14175925.0,116.54356352409359,0.1161969408736031,116.1297,116.9499,116.51155,6079916.660825799,61183.33443443477,5852706.0,6248384.0,6080362.0,68.82272087706217,0.3295915112962819,67.64329,70.27126,68.836765,0
14139917.1874826,59365.60452318454,14004600.0,14244000.0,14164200.0,116.55301077454202,0.07595402009630287,116.2078,116.7937,116.5364,6069164.011860348,30752.865899272303,5926488.0,6144220.0,6071095.0,68.9800960821872,0.15381511374566248,68.41041,69.51173,68.99474,0
14165200.971764049,50102.08737232979,14064450.0,14263950.0,14171530.0,116.57526417668437,0.06507217484323155,116.2078,116.7937,116.5732,6079996.471176964,31467.94166116942,5962656.0,6162304.0,6081215.0,68.96132269723232,0.21811202147831626,67.77241,69.77756,68.94676,0
14152729.363321025,33759.34905103655,14064450.0,14224050.0,14160960.0,116.53521076983327,0.04614335937405957,116.2859,116.7937,116.5424,6085345.358117937,27865.2209511527,5921425.0,6164474.0,6086919.0,68.99097827123195,0.16491211498273642,68.22813,69.85352,68.995945,0
14161916.725165935,53989.86002373212,14064450.0,14343740.0,14161000.0,116.52122860839239,0.05124138284038291,116.2078,116.8328,116.5203,6081322.045505681,35524.370177255,5940956.0,6178941.0,6082734.0,68.96703551805602,0.1687414133323108,68.25091,69.73199,68.98130499999999,0
14151605.694637787,61454.61978158914,14024550.0,14263950.0,14158170.0,116.47905450748928,0.07546406019373111,116.1687,116.6375,116.4896,6068508.904894481,34200.9690964381,5973507.0,6173878.0,6067845.0,68.94634955342725,0.18417888848322028,68.36484,69.37501,68.94366,0
14239663.80842826,36244.37337053239,14164200.0,14303850.0,14239420.0,116.79612551484203,0.03959424008405834,116.6765,116.9464,116.7937,6113929.905448628,33778.13927575006,5974230.0,6218726.0,6114102.0,69.37726610964592,0.1247814520848742,69.00285,69.76237,69.37425,0
14242033.976823222,70061.66636161372,14044500.0,14403590.0,14249630.0,116.83037330213382,0.11835099876818186,116.5203,117.1062,116.8229,6120498.30943228,44195.10129890849,5957593.0,6252000.0,6119015.0,69.5156438458967,0.16203948728567635,68.9117,69.99783,69.49866,0
14254555.158348255,33876.570245730196,14164200.0,14343740.0,14255080.0,116.84751215868397,0.05129258524918963,116.6375,116.989,116.8357,6147548.135239481,33273.006776674294,6008952.0,6247660.0,6148229.0,69.60265762309758,0.10339011788979878,69.21551,70.10416,69.597805,0
14239476.554946285,62279.11975278197,13964700.0,14383640.0,14244000.0,116.81375947851387,0.0981207458107333,116.2859,117.1062,116.8328,6139128.082083707,36187.260798711475,5965026.0,6241874.0,6141905.0,69.57830586559983,0.1335972289088055,69.01044,69.8763,69.60287,0
14227710.593921108,40468.728289764316,14104350.0,14303850.0,14231760.0,116.80808633925578,0.07787462668019954,116.5593,116.9499,116.8111,6139330.619287071,46331.938185653475,5930818.0,6317826.0,6139727.5,69.49685893507655,0.22827113858490988,68.14458,70.29404,69.4938,0
14232426.782906558,38522.85695082706,14104350.0,14303850.0,14236750.0,116.81908004267744,0.041794687875204274,116.6375,116.989,116.8274,6137780.355402066,34852.81830599669,5961210.0,6257787.0,6140701.0,69.42609568789308,0.1430101319523849,68.5927,70.08897,69.41772,0
14222006.180269457,18942.78665571874,14184150.0,14270760.0,14224050.0,116.72994085847901,0.04602991539041919,116.5203,116.7937,116.7433,6144401.534461642,28469.049853277855,5993761.0,6228853.0,6146016.0,69.42732726088408,0.13193968260147215,68.90411,69.89149,69.417545,0
14225736.193630999,27344.68253927008,14164200.0,14263950.0,14229810.0,116.75992777530338,0.04313885933116517,116.5984,116.8328,116.7652,6141234.612069925,27324.80978303456,6027036.0,6225236.0,6143009.0,69.35914850406414,0.09244588934925665,68.98766,69.73959,69.35917,0
14218216.446731571,19268.04666270306,14164200.0,14263950.0,14224050.0,116.62343890959666,0.06330679072763488,116.5203,116.7937,116.6131,6135155.111376912,27309.289966054414,6014015.0,6216556.0,6135769.0,69.28898637329624,0.1244590582245608,68.86613,69.64845,69.29223,0
